spend_all,spend_acf,spend_tws,spend_retail_no_grocery,statename,state_pop2019,freq
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
,,,,New York,19453561.0,d
-0.0123,-0.00891,-0.0417,-0.0114,New York,19453561.0,d
-0.00365,-0.000434,-0.053,0.0201,New York,19453561.0,d
0.0228,0.00233,-0.0284,0.0115,New York,19453561.0,d
0.0358,0.0056,0.00799,0.0212,New York,19453561.0,d
-0.00451,-0.00352,0.00615,-0.0132,New York,19453561.0,d
-0.0203,-0.0317,0.00161,-0.038,New York,19453561.0,d
0.00836,-0.00598,0.0209,-0.00923,New York,19453561.0,d
0.082,0.0447,0.0842,0.0815,New York,19453561.0,d
0.0218,0.0131,0.0475,-0.00334,New York,19453561.0,d
-0.00314,-0.0228,0.128,-0.0356,New York,19453561.0,d
-0.0274,-0.0284,0.0925,-0.0351,New York,19453561.0,d
0.0152,0.0022,0.0973,-0.00301,New York,19453561.0,d
0.0407,0.0561,0.119,0.0222,New York,19453561.0,d
0.024,0.012,0.123,0.00704,New York,19453561.0,d
-0.00816,-0.0172,0.0632,0.00488,New York,19453561.0,d
-0.023,-0.0214,0.047,-0.0173,New York,19453561.0,d
0.00225,0.0316,-0.0505,0.0405,New York,19453561.0,d
0.0303,0.0476,-0.0645,0.0589,New York,19453561.0,d
0.0438,0.0318,-0.0336,0.0636,New York,19453561.0,d
0.0111,-0.00243,-0.0388,0.0379,New York,19453561.0,d
-0.0198,0.00443,-0.0823,0.00707,New York,19453561.0,d
-0.0274,-0.00141,-0.0561,-0.031,New York,19453561.0,d
-0.0157,-0.00789,-0.0257,-0.0105,New York,19453561.0,d
-0.0173,-0.0259,-0.0315,-0.0291,New York,19453561.0,d
-0.042,-0.0603,-0.0261,-0.0651,New York,19453561.0,d
-0.0747,-0.0994,-0.059,-0.0903,New York,19453561.0,d
-0.0473,-0.0935,-0.0584,-0.0572,New York,19453561.0,d
-0.0228,-0.0801,-0.0324,-0.0321,New York,19453561.0,d
-0.0358,-0.0831,-0.0714,-0.0378,New York,19453561.0,d
-0.0571,-0.0821,-0.0947,-0.0582,New York,19453561.0,d
-0.00925,-0.0508,-0.028,0.000354,New York,19453561.0,d
0.00966,-0.0293,-0.00601,0.0194,New York,19453561.0,d
-0.000153,-0.062,-0.000735,0.000271,New York,19453561.0,d
-0.00936,-0.056,0.000419,-0.0105,New York,19453561.0,d
-0.0105,-0.0252,-0.0087,-0.00821,New York,19453561.0,d
0.0202,-0.0168,-0.0108,0.0203,New York,19453561.0,d
-0.0074,-0.0291,-0.013,-0.017,New York,19453561.0,d
-0.0249,-0.0651,-0.0365,-0.0464,New York,19453561.0,d
-0.0383,-0.0595,-0.0637,-0.0348,New York,19453561.0,d
-0.0145,0.0166,-0.0567,0.00428,New York,19453561.0,d
-0.021,-0.0118,-0.0555,-0.0173,New York,19453561.0,d
-0.0232,-0.0358,-0.0513,-0.019,New York,19453561.0,d
-0.0231,-0.0214,-0.0717,-0.00789,New York,19453561.0,d
-0.0214,-0.0367,-0.0776,0.0089,New York,19453561.0,d
-0.0322,-0.0182,-0.085,0.00359,New York,19453561.0,d
-0.0332,-0.0475,-0.0908,-0.0182,New York,19453561.0,d
-0.0508,-0.0733,-0.114,-0.0349,New York,19453561.0,d
-0.0318,-0.0498,-0.114,-0.0104,New York,19453561.0,d
-0.0561,-0.0463,-0.146,-0.0147,New York,19453561.0,d
-0.037,-0.0621,-0.128,-0.00511,New York,19453561.0,d
-0.04,-0.0776,-0.107,-0.0236,New York,19453561.0,d
-0.0531,-0.0771,-0.141,-0.0182,New York,19453561.0,d
-0.0366,-0.0639,-0.15,-0.00217,New York,19453561.0,d
-0.0393,-0.0677,-0.149,-0.0179,New York,19453561.0,d
-0.0279,-0.0724,-0.149,-0.0142,New York,19453561.0,d
-0.00215,-0.0663,-0.144,-0.00118,New York,19453561.0,d
-0.0266,-0.0841,-0.182,-0.0139,New York,19453561.0,d
-0.019,-0.0733,-0.209,-0.00207,New York,19453561.0,d
-0.0127,-0.0756,-0.206,-0.0199,New York,19453561.0,d
0.000996,-0.109,-0.202,-0.036,New York,19453561.0,d
0.0204,-0.133,-0.234,-0.00855,New York,19453561.0,d
-0.000228,-0.182,-0.268,-0.0225,New York,19453561.0,d
-0.0216,-0.226,-0.283,-0.0206,New York,19453561.0,d
-0.0124,-0.258,-0.286,0.0028,New York,19453561.0,d
-0.0308,-0.311,-0.336,-0.0148,New York,19453561.0,d
-0.0693,-0.391,-0.406,-0.0352,New York,19453561.0,d
-0.107,-0.464,-0.455,-0.046,New York,19453561.0,d
-0.128,-0.496,-0.478,-0.0531,New York,19453561.0,d
-0.145,-0.558,-0.501,-0.057,New York,19453561.0,d
-0.16,-0.606,-0.534,-0.0804,New York,19453561.0,d
-0.223,-0.628,-0.598,-0.154,New York,19453561.0,d
-0.249,-0.629,-0.629,-0.18,New York,19453561.0,d
-0.248,-0.618,-0.626,-0.176,New York,19453561.0,d
-0.266,-0.612,-0.647,-0.193,New York,19453561.0,d
-0.312,-0.634,-0.662,-0.236,New York,19453561.0,d
-0.347,-0.655,-0.683,-0.281,New York,19453561.0,d
-0.368,-0.686,-0.722,-0.305,New York,19453561.0,d
-0.332,-0.693,-0.698,-0.259,New York,19453561.0,d
-0.299,-0.699,-0.654,-0.222,New York,19453561.0,d
-0.309,-0.671,-0.63,-0.235,New York,19453561.0,d
-0.319,-0.665,-0.619,-0.235,New York,19453561.0,d
-0.318,-0.672,-0.661,-0.242,New York,19453561.0,d
-0.319,-0.661,-0.69,-0.248,New York,19453561.0,d
-0.322,-0.674,-0.707,-0.248,New York,19453561.0,d
-0.321,-0.682,-0.71,-0.25,New York,19453561.0,d
-0.331,-0.649,-0.72,-0.245,New York,19453561.0,d
-0.327,-0.667,-0.757,-0.236,New York,19453561.0,d
-0.318,-0.676,-0.785,-0.231,New York,19453561.0,d
-0.319,-0.665,-0.767,-0.234,New York,19453561.0,d
-0.315,-0.67,-0.748,-0.229,New York,19453561.0,d
-0.334,-0.666,-0.734,-0.244,New York,19453561.0,d
-0.362,-0.673,-0.753,-0.258,New York,19453561.0,d
-0.278,-0.688,-0.733,-0.172,New York,19453561.0,d
-0.241,-0.656,-0.713,-0.145,New York,19453561.0,d
-0.244,-0.652,-0.709,-0.158,New York,19453561.0,d
-0.253,-0.671,-0.692,-0.147,New York,19453561.0,d
-0.257,-0.666,-0.717,-0.133,New York,19453561.0,d
-0.247,-0.638,-0.707,-0.123,New York,19453561.0,d
-0.196,-0.581,-0.671,-0.0707,New York,19453561.0,d
-0.209,-0.579,-0.698,-0.0805,New York,19453561.0,d
-0.23,-0.636,-0.715,-0.0806,New York,19453561.0,d
-0.305,-0.658,-0.719,-0.167,New York,19453561.0,d
-0.285,-0.652,-0.737,-0.146,New York,19453561.0,d
-0.262,-0.626,-0.705,-0.126,New York,19453561.0,d
-0.233,-0.615,-0.716,-0.0893,New York,19453561.0,d
-0.239,-0.625,-0.759,-0.0868,New York,19453561.0,d
-0.265,-0.638,-0.715,-0.112,New York,19453561.0,d
-0.269,-0.624,-0.719,-0.112,New York,19453561.0,d
-0.199,-0.591,-0.723,0.00558,New York,19453561.0,d
-0.193,-0.567,-0.688,0.00119,New York,19453561.0,d
-0.193,-0.559,-0.687,0.00463,New York,19453561.0,d
-0.185,-0.569,-0.673,-0.00194,New York,19453561.0,d
-0.172,-0.593,-0.622,-0.00931,New York,19453561.0,d
-0.177,-0.588,-0.669,-0.0175,New York,19453561.0,d
-0.18,-0.578,-0.674,-0.0241,New York,19453561.0,d
-0.164,-0.586,-0.661,-0.0164,New York,19453561.0,d
-0.159,-0.583,-0.683,-0.00932,New York,19453561.0,d
-0.154,-0.587,-0.675,-0.0111,New York,19453561.0,d
-0.166,-0.543,-0.659,-0.0111,New York,19453561.0,d
-0.2,-0.527,-0.688,-0.0346,New York,19453561.0,d
-0.196,-0.576,-0.655,-0.0206,New York,19453561.0,d
-0.16,-0.571,-0.59,0.0258,New York,19453561.0,d
-0.158,-0.528,-0.609,0.0274,New York,19453561.0,d
-0.169,-0.525,-0.631,0.0236,New York,19453561.0,d
-0.172,-0.518,-0.627,0.0303,New York,19453561.0,d
-0.163,-0.544,-0.637,0.0388,New York,19453561.0,d
-0.13,-0.542,-0.61,0.0752,New York,19453561.0,d
-0.132,-0.486,-0.629,0.0751,New York,19453561.0,d
-0.155,-0.476,-0.666,0.0361,New York,19453561.0,d
-0.148,-0.492,-0.619,0.0421,New York,19453561.0,d
-0.129,-0.494,-0.583,0.0544,New York,19453561.0,d
-0.128,-0.507,-0.593,0.0498,New York,19453561.0,d
-0.137,-0.516,-0.598,0.0388,New York,19453561.0,d
-0.137,-0.505,-0.589,0.0287,New York,19453561.0,d
-0.142,-0.49,-0.573,0.0149,New York,19453561.0,d
-0.0806,-0.504,-0.538,0.0818,New York,19453561.0,d
-0.0825,-0.512,-0.555,0.0843,New York,19453561.0,d
-0.134,-0.496,-0.601,0.0348,New York,19453561.0,d
-0.135,-0.481,-0.6,0.0436,New York,19453561.0,d
-0.139,-0.483,-0.594,0.0545,New York,19453561.0,d
-0.131,-0.494,-0.565,0.0527,New York,19453561.0,d
-0.118,-0.499,-0.569,0.0648,New York,19453561.0,d
-0.176,-0.489,-0.63,0.00595,New York,19453561.0,d
-0.188,-0.491,-0.633,-0.00169,New York,19453561.0,d
-0.137,-0.506,-0.591,0.0577,New York,19453561.0,d
-0.118,-0.49,-0.579,0.067,New York,19453561.0,d
-0.0984,-0.469,-0.556,0.068,New York,19453561.0,d
-0.0916,-0.449,-0.572,0.0866,New York,19453561.0,d
-0.0973,-0.442,-0.575,0.102,New York,19453561.0,d
-0.089,-0.433,-0.524,0.119,New York,19453561.0,d
-0.0734,-0.42,-0.499,0.0997,New York,19453561.0,d
-0.0835,-0.422,-0.501,0.0888,New York,19453561.0,d
-0.0884,-0.436,-0.489,0.0978,New York,19453561.0,d
-0.0885,-0.421,-0.493,0.109,New York,19453561.0,d
-0.0903,-0.405,-0.495,0.106,New York,19453561.0,d
-0.0674,-0.413,-0.466,0.111,New York,19453561.0,d
-0.0602,-0.413,-0.479,0.118,New York,19453561.0,d
-0.0543,-0.394,-0.482,0.161,New York,19453561.0,d
-0.0296,-0.37,-0.452,0.182,New York,19453561.0,d
-0.0267,-0.367,-0.455,0.174,New York,19453561.0,d
-0.0265,-0.355,-0.459,0.175,New York,19453561.0,d
-0.0279,-0.352,-0.464,0.182,New York,19453561.0,d
-0.0426,-0.34,-0.476,0.173,New York,19453561.0,d
-0.059,-0.34,-0.478,0.148,New York,19453561.0,d
-0.0778,-0.362,-0.484,0.117,New York,19453561.0,d
-0.0995,-0.376,-0.504,0.103,New York,19453561.0,d
-0.0967,-0.373,-0.496,0.108,New York,19453561.0,d
-0.0972,-0.367,-0.496,0.109,New York,19453561.0,d
-0.0899,-0.36,-0.504,0.113,New York,19453561.0,d
-0.0838,-0.364,-0.511,0.11,New York,19453561.0,d
-0.0814,-0.378,-0.496,0.114,New York,19453561.0,d
-0.0781,-0.369,-0.485,0.124,New York,19453561.0,d
-0.0897,-0.387,-0.508,0.113,New York,19453561.0,d
-0.0766,-0.396,-0.506,0.119,New York,19453561.0,d
-0.051,-0.362,-0.479,0.142,New York,19453561.0,d
-0.0572,-0.359,-0.477,0.146,New York,19453561.0,d
-0.0366,-0.346,-0.471,0.18,New York,19453561.0,d
-0.0497,-0.342,-0.502,0.17,New York,19453561.0,d
-0.0503,-0.343,-0.517,0.151,New York,19453561.0,d
-0.0498,-0.341,-0.515,0.148,New York,19453561.0,d
-0.0574,-0.332,-0.511,0.145,New York,19453561.0,d
-0.0459,-0.315,-0.493,0.156,New York,19453561.0,d
-0.0591,-0.324,-0.515,0.135,New York,19453561.0,d
-0.0921,-0.334,-0.541,0.103,New York,19453561.0,d
-0.0803,-0.335,-0.539,0.103,New York,19453561.0,d
-0.0706,-0.333,-0.523,0.11,New York,19453561.0,d
-0.0593,-0.319,-0.519,0.126,New York,19453561.0,d
-0.0633,-0.315,-0.523,0.119,New York,19453561.0,d
-0.07,-0.332,-0.525,0.108,New York,19453561.0,d
-0.0661,-0.34,-0.53,0.126,New York,19453561.0,d
-0.0629,-0.33,-0.532,0.141,New York,19453561.0,d
-0.0589,-0.329,-0.513,0.144,New York,19453561.0,d
-0.0616,-0.333,-0.515,0.157,New York,19453561.0,d
-0.063,-0.335,-0.516,0.158,New York,19453561.0,d
-0.0597,-0.339,-0.513,0.159,New York,19453561.0,d
-0.0604,-0.332,-0.521,0.167,New York,19453561.0,d
-0.0602,-0.321,-0.519,0.165,New York,19453561.0,d
-0.063,-0.332,-0.514,0.151,New York,19453561.0,d
-0.0637,-0.332,-0.518,0.161,New York,19453561.0,d
-0.0609,-0.321,-0.507,0.171,New York,19453561.0,d
-0.0551,-0.309,-0.511,0.169,New York,19453561.0,d
-0.065,-0.299,-0.513,0.173,New York,19453561.0,d
-0.072,-0.311,-0.519,0.172,New York,19453561.0,d
-0.0597,-0.316,-0.497,0.168,New York,19453561.0,d
-0.0785,-0.321,-0.494,0.143,New York,19453561.0,d
-0.0906,-0.318,-0.522,0.137,New York,19453561.0,d
-0.0821,-0.292,-0.524,0.135,New York,19453561.0,d
-0.0855,-0.307,-0.517,0.136,New York,19453561.0,d
-0.0677,-0.309,-0.508,0.141,New York,19453561.0,d
-0.0534,-0.291,-0.495,0.138,New York,19453561.0,d
-0.066,-0.295,-0.511,0.134,New York,19453561.0,d
-0.0448,-0.288,-0.5,0.169,New York,19453561.0,d
-0.0269,-0.284,-0.477,0.177,New York,19453561.0,d
-0.036,-0.308,-0.481,0.167,New York,19453561.0,d
-0.0392,-0.285,-0.469,0.156,New York,19453561.0,d
-0.0475,-0.28,-0.488,0.148,New York,19453561.0,d
-0.0457,-0.292,-0.482,0.154,New York,19453561.0,d
-0.0423,-0.295,-0.485,0.157,New York,19453561.0,d
-0.0423,-0.292,-0.505,0.14,New York,19453561.0,d
-0.046,-0.288,-0.483,0.123,New York,19453561.0,d
-0.0508,-0.289,-0.489,0.102,New York,19453561.0,d
-0.0481,-0.301,-0.51,0.111,New York,19453561.0,d
-0.0358,-0.296,-0.49,0.127,New York,19453561.0,d
-0.0374,-0.276,-0.481,0.125,New York,19453561.0,d
-0.0439,-0.271,-0.477,0.12,New York,19453561.0,d
-0.0484,-0.278,-0.468,0.123,New York,19453561.0,d
-0.0433,-0.276,-0.494,0.136,New York,19453561.0,d
-0.0325,-0.275,-0.483,0.146,New York,19453561.0,d
-0.0316,-0.275,-0.446,0.15,New York,19453561.0,d
-0.0288,-0.281,-0.45,0.152,New York,19453561.0,d
-0.0309,-0.295,-0.477,0.153,New York,19453561.0,d
-0.0233,-0.289,-0.474,0.149,New York,19453561.0,d
0.00177,-0.274,-0.457,0.171,New York,19453561.0,d
0.000312,-0.281,-0.436,0.168,New York,19453561.0,d
-0.014,-0.272,-0.438,0.158,New York,19453561.0,d
-0.0223,-0.232,-0.472,0.162,New York,19453561.0,d
-0.0129,-0.217,-0.458,0.161,New York,19453561.0,d
-0.00301,-0.275,-0.423,0.128,New York,19453561.0,d
-0.0355,-0.255,-0.436,0.103,New York,19453561.0,d
-0.0699,-0.249,-0.525,0.114,New York,19453561.0,d
-0.0336,-0.256,-0.574,0.146,New York,19453561.0,d
-0.0331,-0.255,-0.548,0.128,New York,19453561.0,d
-0.0243,-0.268,-0.548,0.132,New York,19453561.0,d
-0.0473,-0.23,-0.581,0.116,New York,19453561.0,d
-0.069,-0.219,-0.54,0.0965,New York,19453561.0,d
-0.0785,-0.217,-0.523,0.101,New York,19453561.0,d
-0.063,-0.197,-0.522,0.126,New York,19453561.0,d
-0.0928,-0.168,-0.531,0.0994,New York,19453561.0,d
-0.0808,-0.165,-0.52,0.104,New York,19453561.0,d
-0.0491,-0.184,-0.511,0.134,New York,19453561.0,d
-0.0223,-0.215,-0.503,0.166,New York,19453561.0,d
0.00258,-0.222,-0.48,0.19,New York,19453561.0,d
0.00868,-0.224,-0.472,0.191,New York,19453561.0,d
0.0128,-0.229,-0.432,0.201,New York,19453561.0,d
0.0256,-0.227,-0.426,0.217,New York,19453561.0,d
0.03,-0.234,-0.449,0.21,New York,19453561.0,d
0.0207,-0.228,-0.46,0.206,New York,19453561.0,d
0.0113,-0.228,-0.459,0.188,New York,19453561.0,d
0.00653,-0.231,-0.464,0.181,New York,19453561.0,d
0.0072,-0.229,-0.468,0.179,New York,19453561.0,d
0.00655,-0.253,-0.522,0.18,New York,19453561.0,d
-0.00715,-0.287,-0.529,0.16,New York,19453561.0,d
-0.0152,-0.273,-0.491,0.172,New York,19453561.0,d
-0.011,-0.248,-0.479,0.17,New York,19453561.0,d
-0.00892,-0.227,-0.467,0.176,New York,19453561.0,d
-0.00907,-0.223,-0.446,0.165,New York,19453561.0,d
-0.0116,-0.244,-0.446,0.149,New York,19453561.0,d
-0.00905,-0.241,-0.412,0.13,New York,19453561.0,d
-0.00863,-0.215,-0.413,0.135,New York,19453561.0,d
0.00387,-0.209,-0.43,0.147,New York,19453561.0,d
0.0244,-0.23,-0.381,0.159,New York,19453561.0,d
0.0134,-0.245,-0.389,0.142,New York,19453561.0,d
-0.00744,-0.245,-0.427,0.131,New York,19453561.0,d
-0.0144,-0.264,-0.483,0.152,New York,19453561.0,d
-0.0167,-0.263,-0.481,0.156,New York,19453561.0,d
-0.00376,-0.281,-0.464,0.172,New York,19453561.0,d
-0.00488,-0.291,-0.463,0.176,New York,19453561.0,d
-0.0341,-0.27,-0.496,0.172,New York,19453561.0,d
-0.0225,-0.251,-0.492,0.191,New York,19453561.0,d
-0.00824,-0.258,-0.467,0.207,New York,19453561.0,d
-0.00735,-0.257,-0.459,0.208,New York,19453561.0,d
-0.0113,-0.24,-0.436,0.187,New York,19453561.0,d
-0.0291,-0.234,-0.436,0.176,New York,19453561.0,d
-0.0288,-0.241,-0.447,0.168,New York,19453561.0,d
-0.0209,-0.247,-0.44,0.15,New York,19453561.0,d
-0.0244,-0.249,-0.443,0.143,New York,19453561.0,d
-0.0198,-0.261,-0.455,0.156,New York,19453561.0,d
-0.0262,-0.273,-0.452,0.15,New York,19453561.0,d
-0.0253,-0.273,-0.436,0.159,New York,19453561.0,d
-0.0241,-0.256,-0.446,0.163,New York,19453561.0,d
-0.0341,-0.243,-0.473,0.13,New York,19453561.0,d
-0.0222,-0.264,-0.493,0.145,New York,19453561.0,d
-0.0165,-0.29,-0.479,0.159,New York,19453561.0,d
-0.0378,-0.277,-0.479,0.141,New York,19453561.0,d
-0.032,-0.267,-0.464,0.125,New York,19453561.0,d
-0.0346,-0.268,-0.454,0.115,New York,19453561.0,d
-0.051,-0.28,-0.465,0.0853,New York,19453561.0,d
-0.0475,-0.293,-0.457,0.105,New York,19453561.0,d
-0.0492,-0.293,-0.447,0.098,New York,19453561.0,d
-0.0474,-0.266,-0.447,0.0848,New York,19453561.0,d
-0.0293,-0.256,-0.458,0.0791,New York,19453561.0,d
-0.033,-0.262,-0.485,0.0862,New York,19453561.0,d
-0.0276,-0.267,-0.506,0.112,New York,19453561.0,d
-0.0035,-0.264,-0.504,0.138,New York,19453561.0,d
-0.00774,-0.255,-0.503,0.137,New York,19453561.0,d
-0.0104,-0.252,-0.496,0.143,New York,19453561.0,d
-0.0139,-0.254,-0.496,0.143,New York,19453561.0,d
-0.0172,-0.273,-0.484,0.154,New York,19453561.0,d
-0.015,-0.274,-0.478,0.178,New York,19453561.0,d
-0.0202,-0.267,-0.482,0.156,New York,19453561.0,d
-0.000787,-0.283,-0.471,0.181,New York,19453561.0,d
-0.0107,-0.276,-0.454,0.173,New York,19453561.0,d
-0.0192,-0.27,-0.462,0.163,New York,19453561.0,d
-0.0124,-0.286,-0.48,0.181,New York,19453561.0,d
0.00265,-0.287,-0.484,0.208,New York,19453561.0,d
-0.0187,-0.306,-0.496,0.183,New York,19453561.0,d
-0.0306,-0.32,-0.474,0.155,New York,19453561.0,d
-0.0726,-0.353,-0.481,0.117,New York,19453561.0,d
-0.119,-0.399,-0.526,0.0506,New York,19453561.0,d
-0.149,-0.444,-0.55,-0.00623,New York,19453561.0,d
-0.0707,-0.345,-0.528,0.116,New York,19453561.0,d
-0.0872,-0.328,-0.522,0.0809,New York,19453561.0,d
-0.115,-0.341,-0.586,0.0113,New York,19453561.0,d
-0.0439,-0.294,-0.498,0.0503,New York,19453561.0,d
-0.0184,-0.252,-0.472,0.093,New York,19453561.0,d
-0.00413,-0.247,-0.474,0.131,New York,19453561.0,d
0.032,-0.239,-0.452,0.182,New York,19453561.0,d
-0.0667,-0.307,-0.482,-0.00435,New York,19453561.0,d
-0.0206,-0.329,-0.478,0.101,New York,19453561.0,d
0.0714,-0.294,-0.415,0.297,New York,19453561.0,d
-0.00467,-0.323,-0.466,0.22,New York,19453561.0,d
0.00305,-0.345,-0.483,0.221,New York,19453561.0,d
0.035,-0.314,-0.453,0.22,New York,19453561.0,d
0.0214,-0.305,-0.459,0.188,New York,19453561.0,d
-0.00526,-0.323,-0.458,0.154,New York,19453561.0,d
-0.0391,-0.33,-0.477,0.0987,New York,19453561.0,d
-0.0589,-0.314,-0.481,0.0677,New York,19453561.0,d
-0.057,-0.325,-0.451,0.0491,New York,19453561.0,d
-0.0798,-0.341,-0.426,0.0121,New York,19453561.0,d
-0.134,-0.403,-0.466,-0.0468,New York,19453561.0,d
-0.156,-0.418,-0.514,-0.0656,New York,19453561.0,d
-0.115,-0.358,-0.492,-0.0255,New York,19453561.0,d
-0.118,-0.37,-0.48,-0.0363,New York,19453561.0,d
-0.0703,-0.341,-0.477,0.0244,New York,19453561.0,d
-0.0305,-0.287,-0.463,0.0811,New York,19453561.0,d
0.000671,-0.271,-0.454,0.12,New York,19453561.0,d
0.0808,-0.265,-0.402,0.232,New York,19453561.0,d
0.0707,-0.335,-0.426,0.217,New York,19453561.0,d
0.0426,-0.375,-0.495,0.186,New York,19453561.0,d
-0.00167,-0.348,-0.448,0.184,New York,19453561.0,d
0.0217,-0.332,-0.409,0.216,New York,19453561.0,d
0.0291,-0.349,-0.427,0.239,New York,19453561.0,d
0.00414,-0.373,-0.446,0.228,New York,19453561.0,d
-0.00555,-0.363,-0.381,0.228,New York,19453561.0,d
-0.049,-0.422,-0.409,0.203,New York,19453561.0,d
-0.0717,-0.371,-0.429,0.2,New York,19453561.0,d
-0.0189,-0.309,-0.466,0.217,New York,19453561.0,d
-0.032,-0.329,-0.502,0.188,New York,19453561.0,d
-0.049,-0.389,-0.509,0.157,New York,19453561.0,d
0.00874,-0.374,-0.498,0.206,New York,19453561.0,d
0.0663,-0.297,-0.49,0.283,New York,19453561.0,d
0.0395,-0.238,-0.505,0.251,New York,19453561.0,d
0.0853,-0.179,-0.458,0.268,New York,19453561.0,d
0.14,-0.184,-0.438,0.362,New York,19453561.0,d
0.103,-0.205,-0.437,0.347,New York,19453561.0,d
0.0618,-0.229,-0.449,0.316,New York,19453561.0,d
0.0809,-0.206,-0.449,0.323,New York,19453561.0,d
0.102,-0.194,-0.439,0.333,New York,19453561.0,d
0.126,-0.188,-0.396,0.338,New York,19453561.0,d
0.14,-0.182,-0.381,0.36,New York,19453561.0,d
0.105,-0.191,-0.415,0.331,New York,19453561.0,d
0.0865,-0.179,-0.403,0.318,New York,19453561.0,d
0.126,-0.176,-0.378,0.344,New York,19453561.0,d
0.153,-0.203,-0.338,0.356,New York,19453561.0,d
0.186,-0.213,-0.259,0.371,New York,19453561.0,d
0.0848,-0.228,-0.354,0.293,New York,19453561.0,d
0.0482,-0.228,-0.39,0.267,New York,19453561.0,d
0.0886,-0.213,-0.364,0.289,New York,19453561.0,d
0.0829,-0.197,-0.375,0.283,New York,19453561.0,d
0.0277,-0.24,-0.41,0.233,New York,19453561.0,d
-0.0213,-0.237,-0.448,0.209,New York,19453561.0,d
-0.0249,-0.224,-0.457,0.211,New York,19453561.0,d
0.0155,-0.19,-0.459,0.258,New York,19453561.0,d
0.0543,-0.184,-0.44,0.291,New York,19453561.0,d
0.0516,-0.19,-0.41,0.302,New York,19453561.0,d
-0.00799,-0.258,-0.434,0.229,New York,19453561.0,d
-0.0399,-0.281,-0.492,0.185,New York,19453561.0,d
0.0105,-0.234,-0.433,0.248,New York,19453561.0,d
0.0551,-0.2,-0.382,0.277,New York,19453561.0,d
0.0751,-0.211,-0.39,0.273,New York,19453561.0,d
0.0803,-0.229,-0.36,0.255,New York,19453561.0,d
0.0654,-0.266,-0.396,0.219,New York,19453561.0,d
0.103,-0.228,-0.393,0.28,New York,19453561.0,d
0.168,-0.181,-0.317,0.365,New York,19453561.0,d
0.118,-0.227,-0.378,0.292,New York,19453561.0,d
0.0654,-0.266,-0.413,0.251,New York,19453561.0,d
0.085,-0.217,-0.361,0.285,New York,19453561.0,d
0.0758,-0.192,-0.353,0.276,New York,19453561.0,d
0.0483,-0.221,-0.349,0.249,New York,19453561.0,d
0.0493,-0.191,-0.356,0.237,New York,19453561.0,d
0.0174,-0.206,-0.381,0.189,New York,19453561.0,d
0.0263,-0.244,-0.364,0.175,New York,19453561.0,d
0.0258,-0.28,-0.359,0.137,New York,19453561.0,d
-0.0396,-0.351,-0.412,0.0884,New York,19453561.0,d
-0.0405,-0.329,-0.422,0.11,New York,19453561.0,d
-0.00367,-0.242,-0.385,0.152,New York,19453561.0,d
-0.00399,-0.242,-0.367,0.134,New York,19453561.0,d
-0.00725,-0.268,-0.363,0.173,New York,19453561.0,d
-0.00362,-0.202,-0.365,0.197,New York,19453561.0,d
0.0134,-0.157,-0.356,0.234,New York,19453561.0,d
0.00864,-0.113,-0.342,0.234,New York,19453561.0,d
-0.0139,-0.16,-0.359,0.195,New York,19453561.0,d
-0.0436,-0.202,-0.405,0.177,New York,19453561.0,d
-0.0272,-0.183,-0.387,0.187,New York,19453561.0,d
-0.00679,-0.177,-0.376,0.18,New York,19453561.0,d
-0.00995,-0.201,-0.377,0.173,New York,19453561.0,d
0.00215,-0.215,-0.352,0.177,New York,19453561.0,d
0.0288,-0.198,-0.339,0.192,New York,19453561.0,d
0.0484,-0.181,-0.331,0.188,New York,19453561.0,d
0.0827,-0.167,-0.297,0.206,New York,19453561.0,d
0.0847,-0.156,-0.297,0.216,New York,19453561.0,d
0.0679,-0.168,-0.306,0.209,New York,19453561.0,d
0.066,-0.146,-0.292,0.218,New York,19453561.0,d
0.0547,-0.142,-0.298,0.207,New York,19453561.0,d
0.0467,-0.157,-0.301,0.192,New York,19453561.0,d
0.0477,-0.155,-0.307,0.217,New York,19453561.0,d
0.0296,-0.164,-0.322,0.211,New York,19453561.0,d
0.0325,-0.168,-0.31,0.22,New York,19453561.0,d
0.0495,-0.148,-0.282,0.229,New York,19453561.0,d
0.0778,-0.148,-0.286,0.246,New York,19453561.0,d
0.1,-0.138,-0.307,0.274,New York,19453561.0,d
0.107,-0.146,-0.27,0.292,New York,19453561.0,d
0.116,-0.14,-0.256,0.304,New York,19453561.0,d
0.132,-0.12,-0.262,0.326,New York,19453561.0,d
0.151,-0.103,-0.265,0.347,New York,19453561.0,d
0.149,-0.092,-0.273,0.357,New York,19453561.0,d
0.124,-0.111,-0.277,0.346,New York,19453561.0,d
0.125,-0.11,-0.273,0.351,New York,19453561.0,d
0.137,-0.081,-0.296,0.36,New York,19453561.0,d
0.129,-0.0976,-0.295,0.356,New York,19453561.0,d
0.128,-0.106,-0.287,0.356,New York,19453561.0,d
0.0758,-0.0627,-0.303,0.258,New York,19453561.0,w
